,OBJECTID,ID,SUB_1,SUB_2,VOLTAGE,TYPE,STATUS,SHAPE_Length,geometry
1122,1123,114797,UNKNOWN110870,UNKNOWN110875,115.0,AC; OVERHEAD,IN SERVICE,0.061889262309563,"MULTILINESTRING ((-81.8951368 35.3493237, -81.8947923 35.3491632, -81.8951786 35.3486761, -81.896675 35.3467405, -81.8979625 35.345235, -81.8979368 35.3437489, -81.8972616 35.3412667, -81.8970365 35.3390041, -81.896676 35.3369321, -81.8963967 35.3354948, -81.8960788 35.3337498, -81.8953985 35.3300535, -81.8950568 35.3281895, -81.8947122 35.3262456, -81.8944775 35.3250602, -81.8941715 35.3233561, -81.8937823 35.3212399, -81.8934465 35.3193443, -81.8930336 35.3170873, -81.8927602 35.3156449, -81.8923384 35.3134364, -81.8919908 35.3114702, -81.8917353 35.3096398, -81.8914174 35.3082845, -81.8908974 35.3053532, -81.8906598 35.3038063, -81.890431 35.3023588, -81.8902111 35.3009597, -81.8898249 35.2986611, -81.889611 35.2972208, -81.8892604 35.2949826, -81.8888742 35.2927759, -81.8886157 35.2911269, -81.8884776 35.2900644, -81.8882851 35.2897879, -81.8882102 35.289721))"
34083,34084,121565,UNKNOWN132815,MONADNOCK,115.0,AC; OVERHEAD,IN SERVICE,0.4182660777659807,"MULTILINESTRING ((-72.1672834 42.830042, -72.1677674 42.830094, -72.168511 42.8315038, -72.1736328 42.8418842, -72.1770235 42.8454891, -72.1851435 42.8540195, -72.1877847 42.8569403, -72.2123883 42.8830191, -72.2165761 42.8874271, -72.2210733 42.8921206, -72.2236848 42.8967546, -72.2269506 42.9025664, -72.2290445 42.9064033, -72.2305733 42.9089017, -72.2319356 42.9112931, -72.2368253 42.919996, -72.2422981 42.9297875, -72.2481754 42.9401381, -72.2499838 42.9431957, -72.2523335 42.9473479, -72.2533567 42.9491027, -72.262928 42.9576093, -72.2661403 42.9604885, -72.2788347 42.971892, -72.2928557 42.9890182, -72.3041225 43.002361, -72.3046876 43.0043895, -72.3067993 43.0117123, -72.3085007 43.0174468, -72.3104221 43.0185592, -72.3188632 43.0200642, -72.3221112 43.0239011, -72.3271378 43.0259593, -72.3350495 43.0364111, -72.3381785 43.0404919, -72.3467386 43.0521036, -72.3566253 43.065042, -72.3600517 43.0696224, -72.3678742 43.0798541, -72.3786591 43.0911328, -72.3889383 43.1018879, -72.3938222 43.1047552, -72.3966478 43.1064267, -72.4021979 43.109758, -72.4037743 43.110686, -72.414345 43.1169678, -72.4206149 43.1206024, -72.4272179 43.1247664, -72.4307038 43.1267652, -72.4418779 43.132623))"
57413,57414,138064,UNKNOWN120830,UNKNOWN120831,230.0,AC; OVERHEAD,IN SERVICE,0.3504881040723565,"MULTILINESTRING ((-81.0283933 33.3654953, -81.0275621 33.3655833, -81.0248421 33.3665752, -81.0249687 33.3682758, -81.0251063 33.3699831, -81.0252854 33.3717214, -81.0232346 33.3724449, -81.0212496 33.3731701, -81.0195019 33.3738209, -81.0177382 33.3744674, -81.0160148 33.3751296, -81.0153487 33.3767489, -81.0146662 33.3784223, -81.0139786 33.3800955, -81.0133285 33.3817216, -81.0125923 33.3835479, -81.0118884 33.3853991, -81.0075785 33.3842889, -81.0054641 33.3837484, -81.0033498 33.3832123, -81.00121 33.3826954, -80.9990495 33.3821434, -80.9970414 33.3815752, -80.9950997 33.3822845, -80.9931254 33.3830007, -80.9911728 33.3837145, -80.9891042 33.3844712, -80.9870734 33.3852302, -80.9850911 33.3859553, -80.983009 33.386721, -80.9811131 33.3874168, -80.9792144 33.3881149, -80.9773183 33.3888129, -80.9754277 33.3895021, -80.9737367 33.3901303, -80.9719594 33.3916255, -80.9704167 33.3929293, -80.9687282 33.3943332, -80.9671247 33.395672, -80.9655495 33.3969835, -80.9640242 33.398275, -80.9628579 33.3993612, -80.9613731 33.4006175, -80.9598645 33.4019167, -80.9575603 33.4016769, -80.9551821 33.4014282, -80.9529129 33.4012103, -80.9504325 33.4009723, -80.9481872 33.4007579, -80.9459484 33.4005419, -80.9436749 33.4003185, -80.9414142 33.4001417, -80.939256 33.4000986, -80.9370563 33.400104, -80.9348914 33.4001022, -80.9327441 33.4001022, -80.9305876 33.4001607, -80.9289669 33.4010523, -80.927346 33.4019877, -80.9257382 33.4029304, -80.9240847 33.4038894, -80.9221091 33.4029013, -80.920212 33.4019767, -80.9182864 33.4010268, -80.9161021 33.399966, -80.9142179 33.3990488, -80.9123272 33.3981315, -80.9106083 33.397285, -80.9082389 33.3971107, -80.9059262 33.3969416, -80.9036113 33.3967709, -80.9012985 33.3966021, -80.8989052 33.3964259, -80.8968012 33.3962715, -80.8953284 33.396849, -80.8938879 33.3974231, -80.8922783 33.3981001, -80.8903025 33.3971705, -80.8882768 33.3963296, -80.886247 33.3954852, -80.8841934 33.3946413, -80.8822888 33.3938613, -80.8803419 33.3930554, -80.8780491 33.3934316, -80.8757981 33.3937458, -80.8736039 33.3940959, -80.87142 33.3944928, -80.8696544 33.395397, -80.8679079 33.3962726, -80.866062 33.3971519, -80.8643041 33.3980473, -80.862523 33.3989499, -80.8607481 33.399856, -80.8589669 33.4007549, -80.8572069 33.4016575, -80.8554087 33.4025636, -80.8536232 33.4034519, -80.8518887 33.4043578, -80.8521761 33.4060154, -80.8524719 33.4075965, -80.8528209 33.4094369, -80.8531635 33.4111814, -80.8512567 33.411709, -80.8493988 33.4122436, -80.8475516 33.4127729, -80.8457087 33.4133113, -80.843853 33.4138352, -80.8423335 33.4142794, -80.8405801 33.4148123, -80.8408142 33.4164394, -80.8410759 33.4181109, -80.8413333 33.4197788, -80.8416355 33.4214608, -80.8396926 33.4223666, -80.8378008 33.4232618, -80.8361866 33.4240321, -80.8359025 33.4241678, -80.8341638 33.4250043, -80.8323144 33.4258781, -80.8304631 33.4267591, -80.8286116 33.427649, -80.8267538 33.428521, -80.8248937 33.4294019, -80.8230265 33.4302323, -80.8210944 33.4310318, -80.8191765 33.4318503, -80.8171111 33.4326974, -80.8152599 33.4334493, -80.8133516 33.4342393, -80.8114052 33.4350341, -80.8094588 33.4358383, -80.8077551 33.4371137, -80.8060609 33.4383891, -80.8043096 33.4396883, -80.8026583 33.4409399, -80.8009308 33.4422296, -80.7992224 33.4435049, -80.7975234 33.4447708, -80.7957965 33.4460349, -80.7960253 33.4477127, -80.794768 33.4492252, -80.7934974 33.4507195, -80.7922363 33.4522185, -80.7909751 33.4537176, -80.7896558 33.4552084, -80.7883966 33.4567054, -80.787153 33.4581987, -80.7859646 33.4596296, -80.7847926 33.4610675, -80.7836352 33.4625019, -80.7825102 33.4639155, -80.7834036 33.4651353, -80.784359 33.4663605, -80.7855243 33.4678682, -80.7865563 33.4695425, -80.7875213 33.4711524, -80.7884863 33.4727226, -80.7891803 33.4738487, -80.7903449 33.4757361, -80.7915428 33.4777266, -80.7927169 33.4796217, -80.7938055 33.4813822, -80.7949179 33.48321, -80.7971615 33.4868811, -80.7982977 33.4887008, -80.8028136 33.4960626, -80.8039544 33.4979257, -80.8050811 33.4997373, -80.8059285 33.5011387, -80.8066101 33.5014008, -80.8064129 33.501875, -80.8068366 33.5024299))"
87835,87836,307572,TAP301921,SAN MARCOS,69.0,AC; OVERHEAD,IN SERVICE,0.1028593346637605,"MULTILINESTRING ((-117.1972602 33.1287222, -117.1987536 33.1290359, -117.2007213 33.1306142, -117.2009309 33.1312869, -117.2041911 33.1311966, -117.2057371 33.1311893, -117.2072401 33.1311718, -117.2078795 33.1311899, -117.2089372 33.1314196, -117.210226 33.1320208, -117.2110213 33.1313022, -117.213072 33.1312867, -117.2142272 33.1313657, -117.2166402 33.1313843, -117.2186059 33.1313963, -117.21972 33.1314079, -117.2208419 33.1314333, -117.2228353 33.1314277, -117.2235594 33.131425, -117.224476 33.1313494, -117.2252977 33.1313491, -117.2269416 33.1313635, -117.2277558 33.1313556, -117.2285453 33.1312564, -117.2296361 33.1310715, -117.2306348 33.1308216, -117.2310274 33.1314754, -117.2321659 33.1332313, -117.2334767 33.135193, -117.2345516 33.1368717, -117.2360147 33.1390444, -117.2370944 33.1406811, -117.2380779 33.1422203, -117.2382223 33.1424646, -117.2401138 33.1453227, -117.240891 33.1464871, -117.2417184 33.1477367, -117.2424823 33.1489036, -117.2430648 33.1497412, -117.2436611 33.1506631, -117.2449496 33.1527081, -117.2467076 33.1552126, -117.2479077 33.1570342, -117.2486697 33.1581646, -117.2509935 33.1594927, -117.2521711 33.1601348, -117.253984 33.1611507, -117.255047 33.1617479, -117.2561573 33.1623211, -117.2574209 33.1629764, -117.2586804 33.1636595, -117.2600389 33.1644571, -117.261171 33.1650755, -117.2633585 33.1662237, -117.2654213 33.1673267, -117.2674533 33.168457, -117.270844 33.1702953, -117.2729202 33.1713955, -117.2742849 33.1721174, -117.2752665 33.1726732, -117.2769605 33.1735851, -117.2788829 33.1746229, -117.2795398 33.1749636))"
60080,60081,174242,DANVILLE NEW DESIGN PLANT,TAP171708,69.0,AC; OVERHEAD,IN SERVICE,0.0163942298121816,"MULTILINESTRING ((-79.406051 36.618646, -79.406058 36.619358, -79.405964 36.619917, -79.405772 36.620483, -79.405506 36.621056, -79.403158 36.625164, -79.401869 36.626614, -79.397914 36.629581, -79.397517 36.629964, -79.397483 36.631018, -79.3975701 36.631676))"
82926,82927,302651,DOWNIE,UNKNOWN311055,69.0,AC; OVERHEAD,IN SERVICE,0.0307658701922636,"MULTILINESTRING ((-99.7298847 29.2224361, -99.7295343 29.2223632, -99.7272232 29.2227, -99.7257616 29.2229051, -99.7243335 29.2231126, -99.7229204 29.2233109, -99.7214923 29.223525, -99.7200307 29.2237325, -99.7186039 29.2239431, -99.7171974 29.224145, -99.7157768 29.2243479, -99.7144123 29.2245431, -99.7128657 29.2247669, -99.7114078 29.2249798, -99.7099769 29.2251831, -99.7085026 29.2253992, -99.7069922 29.2256167, -99.7055342 29.2258249, -99.704096 29.2260315, -99.7025658 29.2262521, -99.7010753 29.2264681, -99.7001691 29.2265871, -99.6995489 29.2269915))"
49244,49245,139958,UNKNOWN116467,UNKNOWN116468,115.0,AC; OVERHEAD,IN SERVICE,0.106372387794219,"MULTILINESTRING ((-77.1645307 37.7546881, -77.1648153 37.7545844, -77.1649509 37.7548009, -77.1997386 37.7756251, -77.2261778 37.7830809, -77.2602475 37.7988675, -77.2604902 37.7988075))"
20934,20935,106104,UNKNOWN119096,TAP149023,69.0,AC; OVERHEAD,IN SERVICE,0.00032680999999,"MULTILINESTRING ((-97.941042 35.7262636, -97.9413688 35.7262636))"
30458,30459,117179,FISK STREET,UNKNOWN124436,-999999.0,OVERHEAD,IN SERVICE,0.001038058042157,"MULTILINESTRING ((-87.6550513 41.8502254, -87.6559755 41.8506979))"
88604,88605,308341,EXC WIND 4 LLC,HANSFORD,115.0,AC; OVERHEAD,IN SERVICE,0.0108804066542151,"MULTILINESTRING ((-101.3774579 36.4032912, -101.3878297 36.4000034))"
