,OBJECTID,ID,SUB_1,SUB_2,VOLTAGE,TYPE,STATUS,SHAPE_Length,geometry
85763,85764,305497,NOT AVAILABLE,VACA-DIXON,230.0,AC; OVERHEAD,IN SERVICE,0.7247908156564479,"MULTILINESTRING ((-122.5812294 38.2509072, -122.5809811 38.2517719, -122.5807034 38.2519543, -122.5805681 38.2520433, -122.5801483 38.2523191, -122.5788319 38.2516719, -122.5758414 38.2502014, -122.5620643 38.2507963, -122.5457888 38.2514982, -122.5319047 38.2520455, -122.5201382 38.2525214, -122.5076818 38.2519146, -122.5019354 38.2516529, -122.4965221 38.2514506, -122.492834 38.251315, -122.4890506 38.251177, -122.475452 38.2511532, -122.4673737 38.2496541, -122.4554883 38.2475483, -122.4517406 38.2469059, -122.4378803 38.2480599, -122.4222353 38.2483098, -122.414359 38.2484294, -122.409303 38.2492615, -122.399333 38.250832, -122.3942053 38.2487856, -122.3770967 38.2490405, -122.3746937 38.2490117, -122.3651996 38.2487143, -122.3550274 38.2484168, -122.3494238 38.2482503, -122.3393468 38.2479528, -122.3291746 38.2492139, -122.3178722 38.2506059, -122.3098534 38.2515815, -122.305844 38.2520693, -122.2925904 38.2520693, -122.2832748 38.2471081, -122.2738997 38.2480242, -122.265197 38.248875, -122.2649015 38.2489046, -122.2606223 38.2493329, -122.2545904 38.2498802, -122.2450845 38.2508082, -122.2351978 38.2517719, -122.2288089 38.2523548, -122.2189699 38.2533423, -122.2151032 38.2546034, -122.2056092 38.2588508, -122.2033487 38.2598501, -122.2012141 38.2608274, -122.199675 38.261532, -122.1973763 38.2625508, -122.1914157 38.2652039, -122.1869423 38.2675715, -122.1804464 38.2709265, -122.172963 38.2748407, -122.1587219 38.2821814, -122.1491684 38.2871663, -122.1352961 38.294388, -122.1226493 38.3009791, -122.1103832 38.3073442, -122.1031496 38.3111037, -122.0980814 38.3136854, -122.0942028 38.3157437, -122.0869336 38.3194913, -122.0748578 38.3257493, -122.0624727 38.3322214, -122.0587608 38.3351482, -122.0549893 38.338063, -122.0508134 38.3413824, -122.043556 38.3470693, -122.0407958 38.3533511, -122.0371553 38.3616792, -122.0342166 38.3684011, -122.0287795 38.3780975, -122.0265072 38.3821782, -122.0227357 38.3860449, -122.0160137 38.3930643, -122.0111358 38.3979065, -122.0032598 38.4037837, -121.9954552 38.4097086, -121.9929449 38.4111482, -121.9897178 38.411047, -121.984593 38.4108864, -121.9739687 38.4105295, -121.9674727 38.4100179, -121.9572767 38.4091137, -121.9458672 38.4081857, -121.9296631 38.4068056, -121.9257846 38.4064963, -121.9233218 38.4049497, -121.921353 38.4035072, -121.9212745 38.4034498, -121.921097 38.4033197, -121.9210376 38.4020467, -121.9207606 38.4010143))"
29064,29065,115270,UNKNOWN122243,LOCKPORT,345.0,AC; OVERHEAD,IN SERVICE,0.0082522042839129,"MULTILINESTRING ((-88.09483 41.6382094, -88.0948644 41.637287, -88.0946511 41.6332533, -88.0946202 41.6320588, -88.0953364 41.630762, -88.0949959 41.6302516))"
64287,64288,107877,SONOCO PRODUCTS CO,NOT AVAILABLE,115.0,OVERHEAD,NOT AVAILABLE,0.0020397640553362,"MULTILINESTRING ((-80.0663206 34.3866314, -80.0642999 34.3863536))"
8588,8589,156734,TAP156050,UNKNOWN156880,161.0,AC; OVERHEAD,IN SERVICE,0.0006420824780325,"MULTILINESTRING ((-86.5770085 36.7432836, -86.576549 36.743732))"
26963,26964,112407,TAP148786,TAP148787,69.0,AC; OVERHEAD,IN SERVICE,0.0001618143863034,"MULTILINESTRING ((-97.0241655 37.2013453, -97.0240037 37.2013411))"
67004,67005,157837,TAP155899,UNKNOWN176463,115.0,AC; OVERHEAD,IN SERVICE,0.0486421502314088,"MULTILINESTRING ((-80.0408349 33.0660364, -80.0418927 33.066335, -80.0418897 33.0666384, -80.0428211 33.0668337, -80.0442964 33.0669467, -80.0478477 33.0654536, -80.0488411 33.065406, -80.0489542 33.0673512, -80.0484604 33.067369, -80.0486865 33.0729786, -80.0489006 33.0764883, -80.0490315 33.0785287, -80.0441596 33.081039, -80.0453195 33.081967, -80.0430293 33.0840907, -80.040632 33.0863928, -80.0374852 33.0892958, -80.0288358 33.0893196))"
69777,69778,201531,GREAT FALLS (RAINBOW),UNKNOWN201390,230.0,AC; OVERHEAD,NOT AVAILABLE,0.0175318643617462,"MULTILINESTRING ((-111.2039995 47.5397568, -111.204142 47.5394604, -111.2044987 47.5394548, -111.2049798 47.539438, -111.2058591 47.5394268, -111.207402 47.53941, -111.2073854 47.5382452, -111.2053946 47.5382732, -111.2035531 47.5382676, -111.2012968 47.5382732, -111.1990322 47.5385028, -111.1977465 47.5386204, -111.196411 47.5375956, -111.1956312 47.53717, -111.1951288 47.5373934))"
46832,46833,136912,EAST ASTORIA,NORTH QUEENS,-999999.0,OVERHEAD,IN SERVICE,0.0042827007303202,"MULTILINESTRING ((-73.9034039 40.7838345, -73.9034039 40.7841332, -73.9035085 40.7842196, -73.9039601 40.7837589, -73.9041977 40.7833018, -73.9056476 40.7821176, -73.9057189 40.7820276, -73.90642 40.7820303))"
54720,54721,170647,UNKNOWN113524,TAP169080,-999999.0,OVERHEAD,IN SERVICE,0.0624100571113981,"MULTILINESTRING ((-82.615214 33.505117, -82.61385 33.504812, -82.611813 33.500165, -82.611777 33.498357, -82.611739 33.496574, -82.608905 33.488761, -82.611608 33.477107, -82.607585 33.470456, -82.60719 33.463789, -82.606733 33.460465, -82.606412 33.458564, -82.605731 33.454726, -82.608049 33.447156, -82.607967 33.44664))"
40152,40153,128951,UNKNOWN116131,TAP142230,115.0,AC; OVERHEAD,IN SERVICE,0.0544970597257061,"MULTILINESTRING ((-83.8917552 33.5356968, -83.8920784 33.5363139, -83.8935235 33.5391984, -83.8971267 33.547891, -83.9012053 33.558904, -83.9059209 33.5715632, -83.9084308 33.578201, -83.9072412 33.5802248, -83.9049642 33.5841256, -83.9048977 33.5848344, -83.9041561 33.5854363, -83.9041731 33.5857195))"
93427,93428,313178,NOT AVAILABLE,NOT AVAILABLE,345.0,AC; OVERHEAD,IN SERVICE,1.824431403640529,"MULTILINESTRING ((-111.4862622 36.9318678, -111.490255 36.92994, -111.493279 36.927776, -111.49537 36.925753, -111.497065 36.922806, -111.497055 36.919109, -111.496343 36.914975, -111.4967581 36.9137625, -111.497279 36.912241, -111.497002 36.901306, -111.49572 36.859165, -111.495247 36.843361, -111.493517 36.778664, -111.492222 36.711263, -111.490913 36.638332, -111.489998 36.583195, -111.487415 36.56815, -111.47847 36.507362, -111.468086 36.440277, -111.457443 36.37175, -111.448719 36.312061, -111.449364 36.307861, -111.460503 36.289917, -111.466278 36.261723, -111.465111 36.247581, -111.458473 36.197529, -111.448944 36.12561, -111.443169 36.081833, -111.442802 36.076752, -111.444809 36.05714, -111.446892 36.035999, -111.447106 36.024355, -111.446684 35.996108, -111.445912 35.948402, -111.446272 35.929331, -111.447807 35.909805, -111.450142 35.903526, -111.453356 35.895488, -111.454086 35.888557, -111.453308 35.8675, -111.451874 35.8320399, -111.451861 35.8317175, -111.45186 35.831693, -111.451836 35.828751, -111.467941 35.800972, -111.4708116 35.7959261, -111.4833425 35.7738999, -111.487 35.767471, -111.495636 35.750526, -111.513084 35.712223, -111.515831 35.706001, -111.53389 35.64397, -111.549698 35.589417, -111.555222 35.570168, -111.542168 35.541416, -111.538635 35.535973, -111.50428 35.482944, -111.468055 35.426903, -111.460076 35.414689, -111.446587 35.374363, -111.428137 35.319769, -111.40947 35.264362, -111.4058875 35.2536942, -111.393173 35.215834, -111.393913 35.183887, -111.3940336 35.1824525))"
8311,8312,156311,CAPE CANAVERAL,CAPE CANAVERAL,115.0,AC; OVERHEAD,IN SERVICE,0.0010185246991736,"MULTILINESTRING ((-80.765459 28.46911, -80.7664603 28.4689233))"
2544,2545,143962,LONSDALE,NORTH KNOX,161.0,AC; OVERHEAD,IN SERVICE,0.1559856367115824,"MULTILINESTRING ((-83.9526166 35.9607738, -83.9529645 35.9615409, -83.9542813 35.9624897, -83.9595214 35.9608205, -83.9626222 35.9596635, -83.9657955 35.9584065, -83.9693722 35.9586739, -83.9742474 35.9602167, -83.9766894 35.960147, -83.9797953 35.960093, -83.9817387 35.960039, -83.9862416 35.9598308, -83.9888938 35.9596381, -83.9918746 35.9594307, -83.9946474 35.9598224, -83.9985234 35.9603926, -84.0016218 35.9608705, -84.0039799 35.9612095, -84.0075536 35.9617783, -84.0094564 35.9625398, -84.0126268 35.9638464, -84.0232045 35.9681712, -84.0249926 35.9689265, -84.0294966 35.9707586, -84.0286275 35.9719912, -84.0262649 35.9754112, -84.0245679 35.9790504, -84.0237265 35.9810699, -84.0219962 35.9852896, -84.0212166 35.9872166, -84.0190822 35.9923706, -84.0170667 35.9957012, -84.0152081 35.9986779, -84.0133769 36.0017063, -84.0111818 36.0036504, -84.0057674 36.0081611, -84.0026355 36.0105772, -84.0000679 36.0126562, -83.9909124 36.0178546, -83.9841956 36.0234526, -83.9847138 36.0239293, -83.9860162 36.025098, -83.9864155 36.0253864, -83.9869761 36.0260917))"
33587,33588,120932,UNKNOWN114669,TAP154200,100.0,AC; OVERHEAD,IN SERVICE,0.0450227435434774,"MULTILINESTRING ((-80.9100111 35.4268376, -80.9099298 35.4267357, -80.907994 35.4277688, -80.9065331 35.429333, -80.9055593 35.4303758, -80.9045607 35.4314451, -80.9040208 35.4320232, -80.9033049 35.4327898, -80.9024687 35.4336852, -80.9013589 35.4348734, -80.899493 35.4368713, -80.8980213 35.438447, -80.8964952 35.440081, -80.8951613 35.4415092, -80.8939574 35.4427981, -80.8929263 35.443902, -80.8921265 35.4447583, -80.8908927 35.4460792, -80.8894061 35.4476707, -80.8876773 35.4495215, -80.8848485 35.4525498, -80.8835711 35.4539172, -80.8822918 35.4552866, -80.8804835 35.4572225, -80.8788377 35.4578509, -80.8782309 35.4580319))"
34870,34871,122539,RISER143099,VERO BEACH,138.0,AC; UNDERGROUND,NOT AVAILABLE,0.0017869328300535,"MULTILINESTRING ((-80.378361 27.6333702, -80.3799478 27.6341918))"
26329,26330,111584,UNKNOWN111924,NOT AVAILABLE,230.0,AC; OVERHEAD,NOT AVAILABLE,0.0141283716197182,"MULTILINESTRING ((-89.9717935 29.9331104, -89.9706774 29.9332803, -89.9704348 29.9339111, -89.9705683 29.9339596, -89.9704591 29.9341901, -89.9721452 29.9347723, -89.9723272 29.9347602, -89.9757238 29.9358883, -89.9740861 29.9388846, -89.9738394 29.93923, -89.9724518 29.9382985, -89.9722431 29.9386812, -89.9718334 29.9385343))"
11894,11895,130013,LORE,UNKNOWN130698,69.0,AC; OVERHEAD,IN SERVICE,0.0964611754343692,"MULTILINESTRING ((-90.691182 42.5434253, -90.691404 42.543156, -90.691654 42.543016, -90.693263 42.542088, -90.6947786 42.5418477, -90.696086 42.54155, -90.695893 42.539682, -90.695779 42.538317, -90.696535 42.537246, -90.697978 42.536232, -90.69945 42.535185, -90.701026 42.534745, -90.703206 42.534224, -90.706716 42.53338, -90.710128 42.532279, -90.711448 42.531842, -90.714247 42.530935, -90.715746 42.530435, -90.717998 42.529683, -90.720011 42.529736, -90.721811 42.529757, -90.72764 42.529828, -90.731407 42.529853, -90.734015 42.529849, -90.740477 42.529882, -90.743361 42.529844, -90.746407 42.529773, -90.748511 42.529749, -90.752418 42.529725, -90.758347 42.529587, -90.760809 42.529546, -90.76254 42.529517, -90.765907 42.52916, -90.76994 42.529207, -90.772248 42.529184, -90.774931 42.529178, -90.777411 42.529172, -90.779053 42.52913, -90.779029 42.530695, -90.7790404 42.5316541))"
80071,80072,209808,LA SALLE,TAP208125,69.0,AC; OVERHEAD,NOT AVAILABLE,0.0515196659397152,"MULTILINESTRING ((-104.7072953 40.3486476, -104.705641 40.348276, -104.707365 40.345863, -104.70649 40.344358, -104.7023 40.342291, -104.699473 40.339264, -104.696699 40.338379, -104.696625 40.325701, -104.696585 40.320226, -104.696589 40.319569, -104.696463 40.307391, -104.696456 40.304988))"
45148,45149,134958,UNKNOWN129903,HERRICKS,-999999.0,OVERHEAD,IN SERVICE,0.0959196364149589,"MULTILINESTRING ((-73.5654656 40.7580586, -73.5655574 40.7581187, -73.5656936 40.7583178, -73.5660647 40.758227, -73.5665809 40.7581042, -73.5670974 40.7579792, -73.5677186 40.7578276, -73.5690536 40.7575122, -73.5697906 40.7573382, -73.5704347 40.7571823, -73.5711375 40.7570122, -73.5718571 40.7568424, -73.5725124 40.7566902, -73.5731239 40.7565437, -73.5737255 40.7563983, -73.5749273 40.7561152, -73.5754677 40.7559862, -73.5768293 40.7556614, -73.5775126 40.7554962, -73.5782081 40.7553332, -73.5788989 40.7551675, -73.5802679 40.7548423, -73.5808036 40.754715, -73.5813442 40.7545867, -73.5819005 40.7544545, -73.5827627 40.7542453, -73.5836282 40.7540405, -73.5841886 40.7539157, -73.5849138 40.7537521, -73.5856792 40.7535653, -73.5873554 40.7531561, -73.5882072 40.7529502, -73.589077 40.752741, -73.5921677 40.7520122, -73.5930362 40.7518039, -73.5939202 40.7515989, -73.5947528 40.7513914, -73.5956107 40.7511848, -73.5964798 40.7509767, -73.5973148 40.7507835, -73.5981514 40.7505867, -73.5989925 40.7503831, -73.5998412 40.7501807, -73.6006793 40.7499794, -73.6015188 40.7497794, -73.6038523 40.7492319, -73.6055456 40.7488316, -73.606449 40.7486139, -73.607323 40.7484045, -73.6081979 40.7482012, -73.6113267 40.7474426, -73.6143558 40.7467387, -73.6153547 40.7465077, -73.6154694 40.7464834, -73.6222654 40.7448774, -73.622938 40.7447072, -73.623112 40.744753, -73.6235529 40.7454889, -73.6244439 40.7451891, -73.6256613 40.7449023, -73.6260297 40.7448156, -73.6262946 40.7447533, -73.626544 40.7446945, -73.6270968 40.7445644, -73.6275908 40.744448, -73.6278631 40.7443837, -73.6281088 40.744326, -73.6284538 40.7442447, -73.6287852 40.7441667, -73.6291579 40.7440789, -73.6295031 40.7439976, -73.6298758 40.7439098, -73.6301941 40.7438348, -73.6305366 40.7437542, -73.6309813 40.7436494, -73.6313452 40.7435638, -73.6317179 40.743476, -73.63208 40.7433907, -73.632209 40.7433603, -73.63245 40.7433035, -73.6336281 40.7430261, -73.6344424 40.7428343, -73.6347671 40.7427578, -73.6350467 40.742692, -73.6353432 40.7426221, -73.6356237 40.7425561, -73.6358049 40.7425134, -73.636406 40.7423717, -73.6368674 40.7419674, -73.6372697 40.7415954, -73.6381254 40.7410956, -73.6390883 40.7408416, -73.6394597 40.7407408, -73.640245 40.7405496, -73.6410151 40.7403674, -73.6415384 40.7402302, -73.6440592 40.7396861, -73.6481164 40.7387028, -73.6512003 40.7379735, -73.6523197 40.7377087, -73.6548083 40.7370955, -73.6565695 40.7366903, -73.6567442 40.7369686, -73.6574108 40.7368065, -73.6576961 40.7369713))"
35290,35291,123069,UNKNOWN121817,UNKNOWN121818,161.0,AC; OVERHEAD,IN SERVICE,0.0248400168865587,"MULTILINESTRING ((-94.4704538 37.1155828, -94.4707161 37.1154375, -94.474782 37.1159069, -94.4769565 37.1161539, -94.4791982 37.116411, -94.4815702 37.1167021, -94.4839671 37.1169774, -94.4864246 37.1172692, -94.487818 37.1166822, -94.4896404 37.1159345, -94.4920378 37.1149599, -94.4941332 37.1141148, -94.4945189 37.1140248))"
10012,10013,158552,AUBURN (138KV),AUBURN (69KV),138.0,AC; OVERHEAD,IN SERVICE,0.0018476575649827,"MULTILINESTRING ((-85.0477956 41.3627146, -85.0474529 41.3625575, -85.0470802 41.3611348))"
70473,70474,202242,SOUTH RAPID CITY,TAP204125,69.0,AC; OVERHEAD,NOT AVAILABLE,0.0262382518823006,"MULTILINESTRING ((-103.227912 44.0249221, -103.2283094 44.0252528, -103.2284556 44.0252528, -103.229354 44.0252502, -103.2305912 44.0252451, -103.2316848 44.025248, -103.2317347 44.0271538, -103.231737 44.0283639, -103.232331 44.0277034, -103.2332829 44.0271908, -103.2342312 44.0266678, -103.2352223 44.0261346, -103.2362527 44.0255835, -103.2372402 44.0250554, -103.2382563 44.0245068, -103.2393152 44.0239351, -103.2405167 44.0239505, -103.242014 44.0239505, -103.2430765 44.0239505, -103.2471693 44.0239557, -103.2484086 44.023949, -103.2497201 44.0239598))"
58381,58382,167609,ALLEN,TAP170564,161.0,AC; OVERHEAD,IN SERVICE,0.0317472719139067,"MULTILINESTRING ((-90.1489053 35.0726073, -90.1502773 35.0726933, -90.1503187 35.072393, -90.1501605 35.0716898, -90.1497957 35.0702497, -90.1500586 35.0678922, -90.1502141 35.0668999, -90.1503914 35.0652532, -90.1505846 35.0635847, -90.1507079 35.062364, -90.1509279 35.0604847, -90.1511478 35.0586185, -90.1513839 35.0567259, -90.1516038 35.0548728, -90.1518023 35.053002, -90.1528215 35.0526419, -90.1539802 35.0522599, -90.1548332 35.0519305, -90.1568985 35.053046, -90.1588404 35.053046, -90.1608521 35.053046, -90.1618336 35.0530504))"
980,981,101349,UNKNOWN112419,WEST FORK,138.0,AC; OVERHEAD,IN SERVICE,0.0013815646673502,"MULTILINESTRING ((-92.1427004 30.5356952, -92.1425684 30.5358944, -92.1425018 30.5364157, -92.1422044 30.5369563))"
73460,73461,205053,TAP205136,WELLINGTON,115.0,AC; OVERHEAD,NOT AVAILABLE,0.0563630847510312,"MULTILINESTRING ((-105.0764399 40.7258488, -105.0763615 40.7266558, -105.0763306 40.7276068, -105.0763543 40.7282066, -105.0748902 40.7284894, -105.0729222 40.728864, -105.071539 40.729127, -105.0702341 40.7293881, -105.0692097 40.7293845, -105.0680878 40.7293845, -105.0667782 40.7293936, -105.0667592 40.7301392, -105.0667402 40.7310956, -105.0667307 40.7322015, -105.0667073 40.7331403, -105.0666954 40.7346306, -105.0666687 40.7357765, -105.0666598 40.7368458, -105.0651386 40.736839, -105.0635907 40.7368345, -105.06264 40.7368278, -105.0613358 40.73683, -105.0600166 40.7368233, -105.0573695 40.7368255, -105.0573576 40.7378475, -105.0573457 40.7389146, -105.0573338 40.7400199, -105.0573309 40.7412287, -105.0573219 40.7424082, -105.0573011 40.7437115, -105.0573011 40.7448775, -105.0572893 40.7460097, -105.0572685 40.7471418, -105.0572685 40.7483055, -105.0572744 40.7494759, -105.0572388 40.7506418, -105.0572358 40.7518054, -105.0572358 40.7528992, -105.0572358 40.7537724, -105.0572269 40.7546546, -105.0557384 40.7546456, -105.0543569 40.7546344, -105.0530437 40.7546231, -105.0518791 40.7546074, -105.0500905 40.7545916, -105.0491725 40.7545849, -105.0481564 40.7545759, -105.0480227 40.7550868, -105.0479841 40.7552195))"
82691,82692,302416,NOT AVAILABLE,NOT AVAILABLE,138.0,AC; OVERHEAD,NOT AVAILABLE,0.0068352954527433,"MULTILINESTRING ((-96.8197142 32.783923, -96.8153612 32.7861019, -96.8144288 32.7867023, -96.8137071 32.7871671))"
69063,69064,200796,GRAND RONDE,BOYER,115.0,AC; OVERHEAD,NOT AVAILABLE,0.1123040843267804,"MULTILINESTRING ((-123.6086682 45.062651, -123.6090712 45.0623229, -123.6090712 45.0623229, -123.6125912 45.0628791, -123.6153481 45.0633144, -123.618068 45.063744, -123.6197681 45.0640124, -123.6216565 45.0643104, -123.6235375 45.0646077, -123.6281843 45.0644611, -123.6308904 45.0643761, -123.6343699 45.0642663, -123.6362066 45.0642081, -123.6395892 45.0641015, -123.6424886 45.06401, -123.6452527 45.0639223, -123.6479011 45.0638386, -123.6509936 45.0637407, -123.6546663 45.0636241, -123.6581458 45.0635139, -123.660272 45.0634462, -123.6634032 45.0633468, -123.6659547 45.0632656, -123.6674241 45.0632185, -123.6693571 45.0631572, -123.6736284 45.0630209, -123.6764312 45.0629315, -123.6786349 45.0628612, -123.6840472 45.0626884, -123.6856953 45.0626354, -123.6880858 45.0640233, -123.692053 45.0663257, -123.6945227 45.0677595, -123.6993882 45.0705831, -123.7002865 45.0711042, -123.7016342 45.0718864, -123.705377 45.074058, -123.7065119 45.0747162, -123.7085293 45.074723, -123.7112383 45.0747317, -123.7129803 45.0747375, -123.716812 45.0747497, -123.7173933 45.0747517, -123.7173933 45.0747518))"
58946,58947,172868,TAP170801,TAP170802,69.0,AC; OVERHEAD,IN SERVICE,0.0298951400770808,"MULTILINESTRING ((-94.1175253 43.7605425, -94.1242785 43.7606119, -94.1325094 43.7606086, -94.1377023 43.7606119, -94.1439751 43.7605954, -94.1465098 43.7605855, -94.1474201 43.7605901))"
31539,31540,118505,UNKNOWN133052,GRAHAM 46KV,-999999.0,OVERHEAD,IN SERVICE,0.0462320544193703,"MULTILINESTRING ((-68.7086413 44.8224943, -68.7088909 44.8223987, -68.7094445 44.8223915, -68.7103224 44.8225065, -68.7114468 44.8226519, -68.7139478 44.8229271, -68.7158094 44.8226792, -68.7175397 44.822315, -68.7193805 44.8245106, -68.7198184 44.8250956, -68.7202058 44.8256529, -68.7204344 44.8267559, -68.7209154 44.8288468, -68.7211818 44.8300073, -68.7213912 44.8308746, -68.7216475 44.8318478, -68.72187 44.8328488, -68.7222933 44.8347317, -68.7225262 44.8357767, -68.7240493 44.8355373, -68.7254868 44.8352918, -68.726322 44.8354877, -68.7274991 44.8357263, -68.7287332 44.835978, -68.7297732 44.8361646, -68.7305963 44.8360682, -68.7317262 44.8359346, -68.7325678 44.8358295, -68.7335214 44.8350905, -68.7344474 44.8343832, -68.7352781 44.8337375, -68.7361899 44.8330286, -68.7371523 44.832298, -68.7386603 44.8317951, -68.7401859 44.8312883, -68.740764 44.8305771, -68.7415327 44.8302725, -68.7427804 44.8297307, -68.7430442 44.8296099))"
76443,76444,208213,TAP207157,TAP207158,69.0,AC; OVERHEAD,NOT AVAILABLE,0.0086742036162026,"MULTILINESTRING ((-123.4613689 48.1126599, -123.4631677 48.1133776, -123.4640472 48.1135698, -123.4661963 48.1144436, -123.4685358 48.1153877, -123.4694566 48.1157634))"
632,633,141594,DALEWOOD,CHEMICAL,138.0,AC; OVERHEAD,IN SERVICE,0.109070235323796,"MULTILINESTRING ((-81.7655097 38.4260761, -81.7655038 38.4257928, -81.7659916 38.4231337, -81.766176 38.4215157, -81.7616015 38.4182023, -81.7590673 38.416037, -81.7590257 38.4141394, -81.7589424 38.4041397, -81.7588829 38.4014747, -81.7595492 38.3989525, -81.759912 38.3960733, -81.7606378 38.3928313, -81.7521044 38.3889647, -81.7412244 38.3866268, -81.7305822 38.384408, -81.7208145 38.3822962, -81.7106483 38.382784, -81.7040393 38.3830517, -81.6981264 38.381517, -81.6955268 38.3778823, -81.6937065 38.3759014, -81.6931199 38.3756094))"
79851,79852,209322,NORTH STANWOOD,LAKE GOODWIN,69.0,AC; OVERHEAD,NOT AVAILABLE,0.1227566860556789,"MULTILINESTRING ((-122.3515513 48.2435796, -122.3518772 48.2437656, -122.3520307 48.2437335, -122.3515406 48.2431589, -122.3510325 48.2431577, -122.3504246 48.2425343, -122.3502247 48.2423047, -122.3492682 48.2413291, -122.3488958 48.240896, -122.3483342 48.2402214, -122.3478643 48.2394315, -122.3475097 48.2390484, -122.3468542 48.238344, -122.3467614 48.2371186, -122.3467364 48.2359479, -122.3467126 48.2347963, -122.3466972 48.2336363, -122.3466853 48.2325013, -122.3466746 48.231415, -122.3466543 48.230242, -122.345536 48.229866, -122.3441595 48.2294044, -122.3427877 48.2289535, -122.3414326 48.2284943, -122.3403892 48.2280886, -122.3398253 48.2276519, -122.3390139 48.226787, -122.3374196 48.2251345, -122.3372007 48.224586, -122.3362142 48.2238008, -122.3355104 48.2227943, -122.335349 48.2218734, -122.3351791 48.2209311, -122.3350321 48.2200388, -122.3348708 48.2191109, -122.3347337 48.2182528, -122.3345453 48.2175233, -122.3346937 48.2167852, -122.3349707 48.2155716, -122.3351777 48.2146508, -122.3353904 48.2137114, -122.3364284 48.2130918, -122.3368281 48.2120267, -122.3370166 48.2114956, -122.3376333 48.2104891, -122.3372493 48.2096168, -122.3368995 48.2088145, -122.3368681 48.2076737, -122.3372521 48.2067543, -122.3376804 48.2057035, -122.3378746 48.205201, -122.3384185 48.2045428, -122.3384014 48.2038276, -122.33838 48.2031751, -122.337976 48.2023785, -122.337462 48.202013, -122.3374249 48.2013834, -122.3377846 48.200364, -122.3381758 48.1994275, -122.3386355 48.1983567, -122.3389782 48.1973017, -122.3394293 48.1962266, -122.3398148 48.1950488, -122.3400989 48.1942207, -122.3403887 48.1934355, -122.3407942 48.1923633, -122.3413096 48.1914539, -122.3412996 48.1908, -122.3411497 48.1904117, -122.3406015 48.189448, -122.3400447 48.1884858, -122.3394693 48.1875606, -122.3389853 48.1870538, -122.337946 48.1862672, -122.3359429 48.1848009, -122.3350721 48.18406, -122.3344525 48.1830021, -122.3339399 48.1819798, -122.3335088 48.1809234, -122.3337629 48.1803223, -122.3338543 48.1786776, -122.3336116 48.1776654, -122.3333232 48.1768745, -122.3329177 48.1757909, -122.3325622 48.1750014, -122.3321567 48.1741576, -122.3312273 48.1733824, -122.3303322 48.1729541, -122.3291429 48.1726557, -122.3280365 48.1717448, -122.3270642 48.1708011, -122.3260748 48.1698474, -122.3251012 48.1689109, -122.3241489 48.1679858, -122.3231581 48.1670806, -122.3220003 48.1662112, -122.321502 48.1656629, -122.3212507 48.1652646, -122.3206739 48.1642952, -122.3200529 48.1632059, -122.3197831 48.1622379, -122.3191021 48.1615798, -122.3184796 48.1604805, -122.3172118 48.1596838, -122.3163038 48.1595096, -122.3141338 48.1591056, -122.3129074 48.1585474, -122.3116467 48.1585702, -122.3108515 48.1582933, -122.3100477 48.1576708, -122.3095138 48.156847, -122.3092668 48.156353, -122.3089713 48.1558162, -122.3079091 48.1557977, -122.3060274 48.1557748, -122.3045983 48.1557563, -122.3031221 48.1557377, -122.3031406 48.1553151, -122.3029336 48.1553137, -122.3027218 48.1554552))"
8638,8639,156796,UNKNOWN111073,TAP156204,-999999.0,OVERHEAD,IN SERVICE,0.0526158488163439,"MULTILINESTRING ((-86.941714 34.587879, -86.941811 34.587572, -86.942936 34.586222, -86.945857 34.582582, -86.949815 34.577657, -86.954399 34.572384, -86.958896 34.567172, -86.960657 34.565177, -86.966064 34.563452, -86.973797 34.560959, -86.977601 34.560656, -86.977631 34.559549, -86.980514 34.558253, -86.980677 34.557624, -86.981148 34.5577385))"
